cell_lat,cell_lon,total,weekly_avg
-50.0,135.0,1,0.0003721029130342335
-50.0,145.0,1,0.0003721029130342335
-50.0,160.0,66,0.024558792260259407
-50.0,165.0,95,0.03534977673825218
-45.0,-160.0,1,0.0003721029130342335
-45.0,-120.0,1,0.0003721029130342335
-45.0,-110.0,3,0.0011163087391027004
-45.0,-105.0,2,0.000744205826068467
-45.0,-95.0,50,0.018605145651711674
-45.0,-90.0,104,0.03869870295556028
-45.0,-85.0,101,0.03758239421645758
-45.0,-80.0,53,0.019721454390814373
-45.0,-75.0,54,0.020093557303848607
-45.0,-25.0,1,0.0003721029130342335
-45.0,-20.0,91,0.033861365086115244
-45.0,-15.0,1,0.0003721029130342335
-45.0,-5.0,1,0.0003721029130342335
-45.0,35.0,44,0.016372528173506273
-45.0,40.0,57,0.021209866042951307
-45.0,45.0,6,0.0022326174782054007
-45.0,70.0,1,0.0003721029130342335
-45.0,75.0,41,0.015256219434403572
-45.0,80.0,54,0.020093557303848607
-45.0,85.0,49,0.01823304273867744
-45.0,90.0,11,0.004093132043376568
-45.0,95.0,2,0.000744205826068467
-45.0,115.0,1,0.0003721029130342335
-45.0,120.0,11,0.004093132043376568
-45.0,155.0,1,0.0003721029130342335
-45.0,165.0,24,0.008930469912821603
-45.0,170.0,148,0.05507123112906655
-45.0,175.0,42,0.015628322347437804
-40.0,-180.0,107,0.03981501169466298
-40.0,-115.0,28,0.010418881564958536
-40.0,-110.0,47,0.01748883691260897
-40.0,-105.0,154,0.05730384860727195
-40.0,-100.0,99,0.03683818839038911
-40.0,-95.0,54,0.020093557303848607
-40.0,-80.0,13,0.004837337869445035
-40.0,-75.0,428,0.1592600467786519
-40.0,-70.0,5,0.0018605145651711672
-40.0,-55.0,1,0.0003721029130342335
-40.0,-40.0,1,0.0003721029130342335
-40.0,-25.0,3,0.0011163087391027004
-40.0,-20.0,109,0.040559217520731446
-40.0,-15.0,3,0.0011163087391027004
-40.0,-5.0,1,0.0003721029130342335
-40.0,30.0,1,0.0003721029130342335
-40.0,40.0,3,0.0011163087391027004
-40.0,45.0,46,0.017116733999574738
-40.0,50.0,62,0.023070380608122474
-40.0,75.0,113,0.04204762917286838
-40.0,80.0,1,0.0003721029130342335
-40.0,85.0,1,0.0003721029130342335
-40.0,110.0,1,0.0003721029130342335
-40.0,115.0,1,0.0003721029130342335
-40.0,120.0,1,0.0003721029130342335
-40.0,135.0,1,0.0003721029130342335
-40.0,145.0,3,0.0011163087391027004
-40.0,170.0,18,0.006697852434616202
-40.0,175.0,404,0.15032957686583032
-35.0,-180.0,1812,0.674250478418031
-35.0,-175.0,1,0.0003721029130342335
-35.0,-115.0,53,0.019721454390814373
-35.0,-110.0,69,0.02567510099936211
-35.0,-105.0,3,0.0011163087391027004
-35.0,-95.0,1,0.0003721029130342335
-35.0,-80.0,2,0.000744205826068467
-35.0,-75.0,833,0.30996172655751647
-35.0,-70.0,230,0.08558366999787369
-35.0,-50.0,1,0.0003721029130342335
-35.0,-20.0,19,0.0070699553476504355
-35.0,-15.0,46,0.017116733999574738
-35.0,0.0,1,0.0003721029130342335
-35.0,15.0,1,0.0003721029130342335
-35.0,25.0,1,0.0003721029130342335
-35.0,50.0,12,0.0044652349564108015
-35.0,55.0,101,0.03758239421645758
-35.0,60.0,7,0.002604720391239634
-35.0,75.0,28,0.010418881564958536
-35.0,80.0,3,0.0011163087391027004
-35.0,85.0,1,0.0003721029130342335
-35.0,90.0,1,0.0003721029130342335
-35.0,110.0,1,0.0003721029130342335
-35.0,115.0,8,0.002976823304273868
-35.0,120.0,4,0.001488411652136934
-35.0,135.0,1,0.0003721029130342335
-35.0,140.0,1,0.0003721029130342335
-35.0,150.0,3,0.0011163087391027004
-35.0,165.0,4,0.001488411652136934
-35.0,175.0,126,0.046884967042313416
-30.0,-180.0,1612,0.5998298958111843
-30.0,-175.0,3,0.0011163087391027004
-30.0,-150.0,1,0.0003721029130342335
-30.0,-145.0,2,0.000744205826068467
-30.0,-140.0,2,0.000744205826068467
-30.0,-130.0,1,0.0003721029130342335
-30.0,-120.0,20,0.007442058260684669
-30.0,-115.0,154,0.05730384860727195
-30.0,-110.0,12,0.0044652349564108015
-30.0,-105.0,2,0.000744205826068467
-30.0,-95.0,2,0.000744205826068467
-30.0,-75.0,369,0.13730597490963214
-30.0,-70.0,163,0.06065277482458005
-30.0,-65.0,84,0.03125664469487561
-30.0,-50.0,1,0.0003721029130342335
-30.0,-15.0,61,0.02269827769508824
-30.0,-5.0,1,0.0003721029130342335
-30.0,0.0,1,0.0003721029130342335
-30.0,25.0,29,0.01079098447799277
-30.0,45.0,1,0.0003721029130342335
-30.0,60.0,64,0.023814586434190942
-30.0,65.0,52,0.01934935147778014
-30.0,70.0,68,0.025302998086327876
-30.0,75.0,15,0.005581543695513501
-30.0,80.0,7,0.002604720391239634
-30.0,85.0,1,0.0003721029130342335
-30.0,95.0,2,0.000744205826068467
-30.0,125.0,1,0.0003721029130342335
-30.0,130.0,6,0.0022326174782054007
-30.0,150.0,3,0.0011163087391027004
-30.0,165.0,1,0.0003721029130342335
-30.0,170.0,9,0.003348926217308101
-30.0,175.0,167,0.062141186476716986
-25.0,-180.0,2075,0.7721135445460344
-25.0,-175.0,765,0.2846587284711886
-25.0,-130.0,12,0.0044652349564108015
-25.0,-120.0,45,0.016744631086540507
-25.0,-115.0,99,0.03683818839038911
-25.0,-110.0,1,0.0003721029130342335
-25.0,-75.0,281,0.1045609185626196
-25.0,-70.0,790,0.29396130129704445
-25.0,-65.0,53,0.019721454390814373
-25.0,-60.0,1,0.0003721029130342335
-25.0,-20.0,1,0.0003721029130342335
-25.0,-15.0,55,0.020465660216882838
-25.0,-10.0,1,0.0003721029130342335
-25.0,5.0,1,0.0003721029130342335
-25.0,10.0,2,0.000744205826068467
-25.0,15.0,1,0.0003721029130342335
-25.0,25.0,3,0.0011163087391027004
-25.0,30.0,18,0.006697852434616202
-25.0,35.0,3,0.0011163087391027004
-25.0,40.0,2,0.000744205826068467
-25.0,45.0,3,0.0011163087391027004
-25.0,55.0,1,0.0003721029130342335
-25.0,60.0,1,0.0003721029130342335
-25.0,65.0,93,0.03460557091218371
-25.0,70.0,2,0.000744205826068467
-25.0,80.0,8,0.002976823304273868
-25.0,85.0,3,0.0011163087391027004
-25.0,110.0,3,0.0011163087391027004
-25.0,115.0,1,0.0003721029130342335
-25.0,120.0,1,0.0003721029130342335
-25.0,125.0,3,0.0011163087391027004
